ID,Alternaria alternata,Alternaria destruens,Aspergillus versicolor,Aureobasidium pullulans,Botryozyma americana,Botryozyma mucatilis,Botryozyma nematodophila,Brettanomyces bruxellensis,Candida apicola,Candida bohioensis,Candida jiufengensis,Candida parapsilosis,Candida pseudojiufengensis,Candida sithepensis,Candida solani,Ceratobasidium ramicola,Cladosporium allii,Cladosporium cucumerinum,Cladosporium echinulatum,Cladosporium grevilleae,Cladosporium herbarum,Cladosporium macrocarpum,Cladosporium phaenocomae,Cladosporium phlei,Cladosporium ramotenellum,Cladosporium soldanellae,Cladosporium tenuissimum,Cladosporium variabile,Clavispora reshetovae,Cutaneotrichosporon moniliiforme,Cystobasidiopsis lophatheri,Epicoccum brasiliense,Filobasidium magnum,Ganoderma destructans,Gelasinospora tetrasperma,Hebeloma angustisporium,Humicola nigrescens,Kazachstania aquatica,Kazachstania kunashirensis,Kazachstania martiniae,Kazachstania siamensis,Kurtzmaniella cleridarum,Lachancea quebecensis,Lodderomyces elongisporus,Malassezia globosa,Malassezia restricta,Mrakia frigida,Mucor circinelloides,Nematodospora valgi,Neurospora terricola,Ogataea chonburiensis,Ogataea nitratoaversa,Ogataea pilisensis,Ogataea wickerhamii,Papiliotrema aurea,Paraphaeosphaeria sardoa,Penicillium cravenianum,Penicillium crustosum,Penicillium fusisporum,Penicillium kongii,Pichia fermentans,Pichia kudriavzevii,Pichia membranifaciens,Priceomyces fermenticarens,Priceomyces melissophilus,Rhizopus sexualis,Rhodotorula mucilaginosa,Roccella elisabethae,Saccharomyces bayanus,Saccharomyces cariocanus,Saccharomyces cerevisiae,Saccharomyces eubayanus,Saccharomyces kudriavzevii,Saccharomyces mikatae,Saccharomyces paradoxus,Saccharomyces pastorianus,Saccharomycodes ludwigii,Sporidiobolus metaroseus,Sporopachydermia lactativora,Thelebolus globosus,Thermomyces lanuginosus,Trichoderma atroviride,Trichoderma neokoningii,Truncospora macrospora,Typhula maritima,Vishniacozyma carnescens,Wallemia muriae,Wickerhamomyces anomalus
79,15,20,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,0,0,0,0,0,26,316,458598,32,710,12392,296,22,0,0,0,0,0,0,0,0,0,0,0,0
83,12,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,292,375986,23,755,12062,286,25,46,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,27,1353,328933,31,1145,15822,1799,27,0,0,0,0,0,0,0,0,0,0,0,0
85,0,14,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,12,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,53,1858,647070,43,2004,25919,2341,52,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,19,372,587427,15,699,6668,373,22,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,275,639011,15,365,3765,259,13,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,503,546753,64,1973,40562,558,54,11,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,742,614154,42,1088,18176,926,31,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,684,1621,637328,98,2110,35034,1914,690,18,0,0,0,0,0,0,0,0,0,0,0
91,10,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,15,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,498,619541,43,1085,16674,465,43,65,0,0,0,0,0,0,0,0,0,0,0
