ID,Brewery,Name,Country,Un-Subregion,Region,Style,ABV,IBU,SRM,Calories,has_yeast_data,Wheat,Corn,Rice,Oats
105,Ottakringer,Wiener Original,Austria,Western Europe,Europe,Vienna Lager,5.2,20,10,156,0,0,0,0,0
106,Homebrew,Amber Ale,Switzerland,Western Europe,Europe,Amber Ale,5.5,28,12,165,1,0,0,0,0
107,Homebrew,SquareBeer,Switzerland,Western Europe,Europe,White IPA,6,45,5,180,1,1,0,0,0
108,control empty cell,,,,,,,,,,0,0,0,0,0
109,control empty tube,,,,,,,,,,0,0,0,0,0
110,La Mule,Browney,Switzerland,Western Europe,Europe,Belgian Dark Strong Ale,8.5,25,25,255,1,0,0,0,0
111,Bartis,La Koyot,Switzerland,Western Europe,Europe,Strong Pale Ale,7,50,10,210,0,0,0,0,0
112,Brasserie Montheysanne,La Montheysanne,Switzerland,Western Europe,Europe,Pale Lager,5,15,3,150,1,0,0,0,0
113,Brasserie du Griffon,La Fourbe,Switzerland,Western Europe,Europe,Amber Ale,5,20,10,150,1,0,0,0,0
114,Brasserie Sierrvoise,Noire,Switzerland,Western Europe,Europe,Stout,6,30,30,180,1,0,0,0,0
115,Brasseurs de Vollèges,La Tourbillon,Switzerland,Western Europe,Europe,Saison/Farmhouse Ale,6.5,25,6,195,1,0,0,0,0
116,Brasserie du Vieux Chemin,La Prudencia,Switzerland,Western Europe,Europe,Abbey Dubbel,7,20,14,210,1,0,0,0,0
117,Brasserie Tardiv,Tardiv,Switzerland,Western Europe,Europe,Premium Lager,5,15,4,150,1,0,0,0,0
118,Brasserie des 5 quatre mille,Biere de Zinal,Switzerland,Western Europe,Europe,Blanche au seigle,5,15,4,150,1,1,0,0,0
119,Brasserie d'Ayent,Celsius Folamour,Switzerland,Western Europe,Europe,Specialty Beer,5.5,20,10,165,1,0,0,0,0
120,Coudres,Blonde,Switzerland,Western Europe,Europe,Blonde Ale,5,18,4,150,1,0,0,0,0
121,Leffe,Vieille Cuvée,Belgium,Western Europe,Europe,Abbey Dubbel,8.2,22,16,246,0,0,0,0,0
122,La Nébuleuse,ChichaBeer experimental,Switzerland,Western Europe,Europe,Specialty Beer,5,15,4,150,1,0,0,0,0
123,Muller Brau,Pale Ale,Switzerland,Western Europe,Europe,Pale Ale,5.5,30,6,165,0,0,0,0,0
124,Docteur Gabs,Ipanema,Switzerland,Western Europe,Europe,IPA,6,40,6,180,0,0,0,0,0
125,Brewdog,5AM Saints,UK,Northern Europe,Europe,Amber Ale,5,35,12,150,0,0,0,0,0
126,Boxer,Boxer Old,Switzerland,Western Europe,Europe,Premium Lager,5.2,18,6,156,0,0,0,0,0
